# ASCII 1D datafile generated by TiberCAD
# 1 x
# 2 GenerationRate
# 3 Intensity
# 4 ElectricField
# x GenerationRate Intensity ElectricField 
53 1.10771e+17 1154.4 702.449 
54 1.10448e+17 1151.42 700.691 
55 1.10118e+17 1148.37 698.897 
56 1.09781e+17 1145.26 697.068 
57 1.09437e+17 1142.1 695.206 
58 1.09088e+17 1138.88 693.311 
59 1.08732e+17 1135.61 691.386 
60 1.0837e+17 1132.28 689.432 
61 1.08003e+17 1128.91 687.45 
62 1.07631e+17 1125.49 685.442 
63 1.07253e+17 1122.03 683.408 
64 1.06871e+17 1118.53 681.352 
65 1.06484e+17 1115 679.274 
66 1.06093e+17 1111.42 677.175 
67 1.05697e+17 1107.82 675.058 
68 1.05298e+17 1104.18 672.923 
69 1.04895e+17 1100.52 670.773 
70 1.04489e+17 1096.84 668.608 
71 1.0408e+17 1093.13 666.431 
72 1.03668e+17 1089.4 664.242 
73 1.03254e+17 1085.66 662.044 
74 1.02837e+17 1081.9 659.837 
75 1.02419e+17 1078.13 657.624 
76 1.01998e+17 1074.36 655.405 
77 1.01576e+17 1070.58 653.183 
78 1.01153e+17 1066.79 650.958 
79 1.00728e+17 1063.01 648.733 
80 1.00303e+17 1059.23 646.508 
81 9.98774e+16 1055.46 644.286 
82 9.94515e+16 1051.69 642.067 
83 9.90256e+16 1047.94 639.853 
84 9.85999e+16 1044.19 637.646 
85 9.81747e+16 1040.47 635.446 
86 9.77503e+16 1036.76 633.256 
87 9.73267e+16 1033.08 631.076 
88 9.69044e+16 1029.41 628.908 
89 9.64835e+16 1025.78 626.754 
90 9.60643e+16 1022.17 624.614 
91 9.5647e+16 1018.6 622.49 
92 9.52318e+16 1015.06 620.384 
93 9.4819e+16 1011.56 618.295 
94 9.44088e+16 1008.09 616.227 
95 9.40014e+16 1004.67 614.179 
96 9.35971e+16 1001.29 612.154 
97 9.3196e+16 997.955 610.152 
98 9.27983e+16 994.669 608.175 
99 9.24044e+16 991.433 606.223 
100 9.20143e+16 988.25 604.298 
101 9.16284e+16 985.121 602.4 
102 9.12468e+16 982.048 600.532 
103 9.08697e+16 979.034 598.694 
104 9.04973e+16 976.08 596.887 
105 9.01298e+16 973.189 595.111 
106 8.97674e+16 970.362 593.369 
107 8.94103e+16 967.602 591.661 
108 8.90587e+16 964.909 589.988 
109 8.87128e+16 962.285 588.35 
110 8.83727e+16 959.733 586.749 
111 8.80386e+16 957.253 585.186 
112 8.77107e+16 954.848 583.661 
113 8.73892e+16 952.518 582.176 
114 8.70742e+16 950.266 580.73 
115 8.6766e+16 948.092 579.325 
116 8.64645e+16 945.998 577.962 
117 8.61702e+16 943.985 576.641 
118 8.5883e+16 942.054 575.363 
119 8.56031e+16 940.207 574.128 
120 8.53307e+16 938.443 572.937 
121 8.50659e+16 936.765 571.792 
122 8.48088e+16 935.174 570.691 
123 8.45597e+16 933.669 569.637 
124 8.43186e+16 932.253 568.629 
125 8.40856e+16 930.925 567.668 
126 8.38609e+16 929.686 566.754 
127 8.36446e+16 928.538 565.889 
128 8.34368e+16 927.479 565.071 
129 8.32377e+16 926.512 564.303 
130 8.30472e+16 925.636 563.583 
131 8.28656e+16 924.851 562.913 
132 8.2693e+16 924.158 562.292 
133 8.25293e+16 923.558 561.721 
134 8.23748e+16 923.05 561.201 
135 8.22294e+16 922.633 560.731 
136 8.20934e+16 922.31 560.311 
137 8.19667e+16 922.078 559.943 
138 8.18494e+16 921.939 559.625 
139 8.17416e+16 921.891 559.359 
140 8.16433e+16 921.936 559.143 
141 8.15546e+16 922.071 558.979 
142 8.14756e+16 922.298 558.865 
143 8.14063e+16 922.615 558.803 
144 8.13467e+16 923.023 558.792 
145 8.12969e+16 923.519 558.832 
146 8.12568e+16 924.105 558.923 
147 8.12266e+16 924.779 559.065 
148 8.12062e+16 925.54 559.257 
149 8.11956e+16 926.388 559.499 
150 8.11949e+16 927.322 559.792 
151 8.1204e+16 928.341 560.135 
152 8.12229e+16 929.443 560.527 
153 8.12516e+16 930.628 560.968 
154 8.12902e+16 931.895 561.459 
155 8.13384e+16 933.243 561.998 
156 8.13965e+16 934.67 562.585 
157 8.14642e+16 936.175 563.219 
158 8.15415e+16 937.757 563.901 
159 8.16284e+16 939.415 564.629 
160 8.17249e+16 941.147 565.403 
161 8.18308e+16 942.951 566.223 
162 8.19461e+16 944.826 567.087 
163 8.20708e+16 946.771 567.996 
164 8.22046e+16 948.785 568.948 
165 8.23476e+16 950.864 569.943 
166 8.24997e+16 953.008 570.981 
167 8.26607e+16 955.215 572.059 
168 8.28305e+16 957.484 573.178 
169 8.3009e+16 959.811 574.337 
170 8.31961e+16 962.197 575.534 
171 8.33917e+16 964.638 576.77 
172 8.35955e+16 967.133 578.042 
173 8.38076e+16 969.68 579.351 
174 8.40277e+16 972.276 580.695 
175 8.42557e+16 974.921 582.073 
176 8.44914e+16 977.611 583.484 
177 8.47346e+16 980.346 584.927 
178 8.49853e+16 983.122 586.401 
179 8.52432e+16 985.937 587.905 
180 8.55081e+16 988.791 589.438 
181 8.57798e+16 991.679 590.999 
182 8.60582e+16 994.601 592.586 
183 8.63431e+16 997.554 594.199 
184 8.66342e+16 1000.54 595.836 
185 8.69314e+16 1003.54 597.496 
186 8.72344e+16 1006.58 599.178 
187 8.75431e+16 1009.63 600.88 
188 8.78572e+16 1012.7 602.602 
189 8.81765e+16 1015.8 604.342 
190 8.85008e+16 1018.9 606.099 
191 8.88298e+16 1022.02 607.871 
192 8.91634e+16 1025.16 609.657 
193 8.95012e+16 1028.3 611.456 
194 8.98431e+16 1031.44 613.267 
195 9.01889e+16 1034.59 615.089 
196 9.05382e+16 1037.74 616.919 
197 9.08908e+16 1040.9 618.757 
198 9.12465e+16 1044.04 620.601 
199 9.16051e+16 1047.19 622.45 
200 9.19663e+16 1050.32 624.303 
201 9.23298e+16 1053.45 626.159 
202 9.26954e+16 1056.57 628.015 
203 9.30629e+16 1059.67 629.871 
204 9.3432e+16 1062.75 631.726 
205 9.38025e+16 1065.82 633.578 
206 9.41741e+16 1068.87 635.425 
207 9.45465e+16 1071.89 637.267 
208 9.49196e+16 1074.9 639.103 
209 9.52931e+16 1077.87 640.93 
210 9.56667e+16 1080.82 642.748 
211 9.60401e+16 1083.73 644.556 
212 9.64133e+16 1086.61 646.351 
213 9.67858e+16 1089.46 648.134 
214 9.71575e+16 1092.28 649.903 
215 9.75281e+16 1095.05 651.657 
216 9.78974e+16 1097.78 653.394 
217 9.82652e+16 1100.48 655.113 
218 9.86313e+16 1103.13 656.814 
219 9.89953e+16 1105.73 658.495 
220 9.93572e+16 1108.29 660.155 
221 9.97166e+16 1110.8 661.794 
222 1.00073e+17 1113.26 663.409 
223 1.00427e+17 1115.67 665 
224 1.00778e+17 1118.02 666.567 
225 1.01126e+17 1120.32 668.108 
226 1.0147e+17 1122.57 669.622 
227 1.01811e+17 1124.76 671.108 
228 1.02147e+17 1126.89 672.566 
229 1.0248e+17 1128.96 673.995 
230 1.02809e+17 1130.97 675.393 
231 1.03133e+17 1132.91 676.761 
232 1.03452e+17 1134.8 678.097 
233 1.03767e+17 1136.62 679.401 
234 1.04077e+17 1138.37 680.672 
235 1.04382e+17 1140.06 681.909 
236 1.04682e+17 1141.69 683.112 
237 1.04976e+17 1143.24 684.281 
238 1.05265e+17 1144.73 685.414 
239 1.05549e+17 1146.15 686.511 
240 1.05826e+17 1147.49 687.572 
241 1.06098e+17 1148.77 688.596 
242 1.06364e+17 1149.98 689.583 
243 1.06623e+17 1151.12 690.532 
244 1.06877e+17 1152.18 691.443 
245 1.07124e+17 1153.17 692.317 
246 1.07365e+17 1154.09 693.151 
247 1.07599e+17 1154.94 693.947 
248 1.07827e+17 1155.72 694.704 
249 1.08048e+17 1156.42 695.422 
250 1.08262e+17 1157.05 696.101 
251 1.08469e+17 1157.61 696.74 
252 1.0867e+17 1158.09 697.339 
253 1.08863e+17 1158.51 697.899 
254 1.0905e+17 1158.85 698.419 
255 1.09229e+17 1159.11 698.9 
256 1.09401e+17 1159.31 699.341 
257 1.09566e+17 1159.43 699.743 
258 1.09724e+17 1159.49 700.104 
259 1.09875e+17 1159.47 700.427 
260 1.10018e+17 1159.38 700.71 
261 1.10154e+17 1159.22 700.955 
262 1.10283e+17 1159 701.16 
263 1.10404e+17 1158.7 701.326 
264 1.10518e+17 1158.34 701.455 
265 1.10624e+17 1157.91 701.544 
266 1.10724e+17 1157.41 701.596 
267 1.10815e+17 1156.85 701.611 
268 1.109e+17 1156.22 701.588 
269 1.10977e+17 1155.53 701.528 
270 1.11046e+17 1154.78 701.431 
271 1.11108e+17 1153.96 701.299 
272 1.11163e+17 1153.09 701.13 
273 1.11211e+17 1152.15 700.926 
274 1.11251e+17 1151.16 700.687 
275 1.11284e+17 1150.1 700.414 
276 1.1131e+17 1149 700.107 
277 1.11328e+17 1147.83 699.766 
278 1.11339e+17 1146.62 699.392 
279 1.11343e+17 1145.35 698.986 
280 1.1134e+17 1144.03 698.548 
281 1.1133e+17 1142.66 698.078 
282 1.11313e+17 1141.24 697.578 
283 1.11289e+17 1139.77 697.048 
284 1.11258e+17 1138.26 696.488 
285 1.1122e+17 1136.71 695.899 
286 1.11175e+17 1135.11 695.281 
287 1.11124e+17 1133.47 694.636 
288 1.11065e+17 1131.79 693.964 
289 1.11e+17 1130.07 693.265 
290 1.10929e+17 1128.32 692.54 
291 1.10851e+17 1126.53 691.791 
292 1.10767e+17 1124.7 691.016 
293 1.10676e+17 1122.85 690.219 
294 1.10579e+17 1120.96 689.397 
295 1.10476e+17 1119.05 688.554 
296 1.10367e+17 1117.11 687.689 
297 1.10251e+17 1115.14 686.803 
298 1.1013e+17 1113.15 685.896 
299 1.10003e+17 1111.13 684.97 
300 1.0987e+17 1109.1 684.026 
301 1.09731e+17 1107.05 683.063 
302 1.09587e+17 1104.97 682.083 
303 1.09438e+17 1102.89 681.086 
304 1.09283e+17 1100.79 680.073 
305 1.09123e+17 1098.67 679.046 
306 1.08957e+17 1096.55 678.004 
307 1.08787e+17 1094.41 676.948 
308 1.08612e+17 1092.27 675.879 
309 1.08431e+17 1090.12 674.799 
310 1.08246e+17 1087.97 673.707 
311 1.08057e+17 1085.82 672.604 
312 1.07863e+17 1083.66 671.491 
313 1.07665e+17 1081.5 670.37 
314 1.07462e+17 1079.35 669.24 
315 1.07255e+17 1077.19 668.102 
316 1.07045e+17 1075.05 666.958 
317 1.0683e+17 1072.91 665.808 
318 1.06612e+17 1070.77 664.652 
319 1.0639e+17 1068.65 663.492 
320 1.06165e+17 1066.53 662.328 
321 1.05936e+17 1064.43 661.161 
322 1.05704e+17 1062.34 659.991 
323 1.05469e+17 1060.27 658.82 
324 1.05232e+17 1058.21 657.649 
325 1.04991e+17 1056.17 656.477 
326 1.04748e+17 1054.15 655.305 
327 1.04502e+17 1052.15 654.135 
328 1.04255e+17 1050.17 652.967 
329 1.04004e+17 1048.21 651.802 
330 1.03752e+17 1046.27 650.64 
331 1.03498e+17 1044.36 649.483 
332 1.03243e+17 1042.48 648.33 
333 1.02986e+17 1040.62 647.183 
334 1.02727e+17 1038.79 646.042 
335 1.02467e+17 1036.99 644.908 
336 1.02206e+17 1035.22 643.781 
337 1.01944e+17 1033.49 642.663 
338 1.01682e+17 1031.78 641.553 
339 1.01418e+17 1030.11 640.453 
340 1.01154e+17 1028.47 639.363 
341 1.0089e+17 1026.86 638.283 
342 1.00626e+17 1025.29 637.215 
343 1.00362e+17 1023.76 636.159 
344 1.00098e+17 1022.27 635.115 
345 9.98342e+16 1020.81 634.084 
346 9.95709e+16 1019.39 633.067 
347 9.93082e+16 1018.01 632.064 
348 9.90464e+16 1016.67 631.076 
349 9.87854e+16 1015.37 630.102 
350 9.85256e+16 1014.11 629.144 
351 9.82669e+16 1012.89 628.202 
352 9.80097e+16 1011.72 627.277 
353 9.7754e+16 1010.58 626.369 
354 9.74999e+16 1009.49 625.478 
355 9.72477e+16 1008.44 624.605 
356 9.69974e+16 1007.44 623.751 
357 9.67493e+16 1006.48 622.915 
358 9.65033e+16 1005.56 622.098 
359 9.62598e+16 1004.69 621.3 
360 9.60187e+16 1003.86 620.522 
361 9.57802e+16 1003.08 619.764 
362 9.55446e+16 1002.34 619.026 
363 9.53118e+16 1001.65 618.309 
364 9.50819e+16 1001 617.613 
365 9.48553e+16 1000.39 616.938 
366 9.46318e+16 999.835 616.284 
367 9.44117e+16 999.32 615.651 
368 9.4195e+16 998.85 615.041 
369 9.39819e+16 998.425 614.452 
370 9.37725e+16 998.044 613.885 
371 9.35668e+16 997.707 613.34 
372 9.33649e+16 997.414 612.818 
373 9.3167e+16 997.165 612.318 
374 9.29731e+16 996.959 611.84 
375 9.27833e+16 996.797 611.385 
376 9.25977e+16 996.677 610.952 
377 9.24163e+16 996.6 610.542 
378 9.22393e+16 996.565 610.154 
379 9.20666e+16 996.572 609.789 
380 9.18984e+16 996.62 609.446 
381 9.17347e+16 996.708 609.126 
382 9.15756e+16 996.837 608.828 
383 9.14211e+16 997.006 608.552 
384 9.12712e+16 997.213 608.299 
385 9.1126e+16 997.459 608.067 
386 9.09856e+16 997.743 607.858 
387 9.085e+16 998.065 607.67 
388 9.07191e+16 998.423 607.503 
389 9.05931e+16 998.816 607.358 
390 9.04719e+16 999.246 607.234 
391 9.03555e+16 999.709 607.132 
392 9.02441e+16 1000.21 607.049 
393 9.01375e+16 1000.74 606.988 
394 9.00359e+16 1001.3 606.946 
395 8.99391e+16 1001.89 606.925 
396 8.98472e+16 1002.52 606.923 
397 8.97602e+16 1003.17 606.94 
398 8.96781e+16 1003.86 606.977 
399 8.96008e+16 1004.57 607.032 
400 8.95284e+16 1005.31 607.106 
401 8.94609e+16 1006.07 607.198 
402 8.93981e+16 1006.86 607.307 
403 8.93402e+16 1007.68 607.434 
404 8.9287e+16 1008.52 607.578 
405 8.92386e+16 1009.38 607.739 
406 8.91948e+16 1010.26 607.916 
407 8.91558e+16 1011.16 608.109 
408 8.91213e+16 1012.09 608.317 
409 8.90915e+16 1013.03 608.54 
410 8.90662e+16 1013.99 608.778 
411 8.90455e+16 1014.97 609.031 
412 8.90292e+16 1015.96 609.297 
413 8.90173e+16 1016.97 609.576 
414 8.90098e+16 1017.99 609.869 
415 8.90067e+16 1019.02 610.175 
416 8.90077e+16 1020.07 610.492 
417 8.90131e+16 1021.13 610.822 
418 8.90225e+16 1022.19 611.162 
419 8.90361e+16 1023.27 611.514 
420 8.90538e+16 1024.35 611.876 
421 8.90754e+16 1025.45 612.248 
422 8.9101e+16 1026.54 612.63 
423 8.91304e+16 1027.65 613.022 
424 8.91637e+16 1028.75 613.422 
425 8.92007e+16 1029.86 613.83 
426 8.92414e+16 1030.98 614.247 
427 8.92857e+16 1032.09 614.671 
428 8.93337e+16 1033.21 615.102 
429 8.93851e+16 1034.32 615.54 
430 8.94399e+16 1035.43 615.984 
431 8.94982e+16 1036.54 616.435 
432 8.95598e+16 1037.65 616.891 
433 8.96246e+16 1038.75 617.352 
434 8.96927e+16 1039.85 617.818 
435 8.97638e+16 1040.94 618.288 
436 8.98381e+16 1042.03 618.762 
437 8.99153e+16 1043.11 619.24 
438 8.99955e+16 1044.18 619.722 
439 9.00786e+16 1045.24 620.206 
440 9.01645e+16 1046.29 620.693 
441 9.02532e+16 1047.34 621.183 
442 9.03445e+16 1048.37 621.674 
443 9.04385e+16 1049.39 622.167 
444 9.05351e+16 1050.4 622.661 
445 9.06342e+16 1051.39 623.156 
446 9.07358e+16 1052.37 623.652 
447 9.08397e+16 1053.34 624.148 
448 9.0946e+16 1054.29 624.644 
449 9.10546e+16 1055.22 625.14 
450 9.11654e+16 1056.14 625.635 
451 9.12784e+16 1057.05 626.13 
452 9.13935e+16 1057.93 626.624 
453 9.15106e+16 1058.8 627.116 
454 9.16297e+16 1059.65 627.607 
455 9.17507e+16 1060.49 628.096 
456 9.18737e+16 1061.3 628.583 
457 9.19984e+16 1062.1 629.067 
458 9.21249e+16 1062.87 629.549 
459 9.22531e+16 1063.63 630.029 
460 9.23829e+16 1064.36 630.505 
461 9.25144e+16 1065.08 630.979 
462 9.26473e+16 1065.77 631.449 
463 9.27818e+16 1066.45 631.915 
464 9.29177e+16 1067.1 632.378 
465 9.30549e+16 1067.73 632.837 
466 9.31934e+16 1068.34 633.291 
467 9.33332e+16 1068.93 633.742 
468 9.34742e+16 1069.49 634.188 
469 9.36163e+16 1070.04 634.63 
470 9.37595e+16 1070.56 635.067 
471 9.39037e+16 1071.06 635.499 
472 9.40489e+16 1071.54 635.927 
473 9.4195e+16 1072 636.349 
474 9.43419e+16 1072.43 636.766 
475 9.44896e+16 1072.85 637.178 
476 9.4638e+16 1073.24 637.584 
477 9.47872e+16 1073.61 637.985 
478 9.49369e+16 1073.95 638.381 
479 9.50872e+16 1074.28 638.77 
480 9.52379e+16 1074.58 639.154 
481 9.53891e+16 1074.87 639.533 
482 9.55407e+16 1075.13 639.905 
483 9.56926e+16 1075.37 640.271 
484 9.58447e+16 1075.59 640.632 
485 9.5997e+16 1075.79 640.986 
486 9.61494e+16 1075.97 641.334 
487 9.63019e+16 1076.13 641.676 
488 9.64544e+16 1076.27 642.012 
489 9.66069e+16 1076.4 642.342 
490 9.67592e+16 1076.5 642.666 
491 9.69113e+16 1076.58 642.983 
492 9.70632e+16 1076.65 643.294 
493 9.72148e+16 1076.7 643.599 
494 9.7366e+16 1076.73 643.898 
495 9.75168e+16 1076.75 644.19 
496 9.76671e+16 1076.74 644.477 
497 9.78169e+16 1076.72 644.757 
498 9.7966e+16 1076.69 645.031 
499 9.81144e+16 1076.64 645.298 
500 9.82621e+16 1076.58 645.56 
501 9.8409e+16 1076.5 645.816 
502 9.85551e+16 1076.41 646.065 
503 9.87002e+16 1076.3 646.309 
504 9.88443e+16 1076.18 646.547 
505 9.89874e+16 1076.05 646.779 
506 9.91294e+16 1075.91 647.005 
507 9.92703e+16 1075.75 647.225 
508 9.94099e+16 1075.59 647.44 
509 9.95483e+16 1075.41 647.649 
510 9.96854e+16 1075.23 647.852 
511 9.98211e+16 1075.03 648.051 
512 9.99553e+16 1074.83 648.244 
513 1.00088e+17 1074.62 648.431 
514 1.00219e+17 1074.4 648.614 
515 1.00349e+17 1074.17 648.791 
516 1.00477e+17 1073.94 648.964 
517 1.00603e+17 1073.7 649.132 
518 1.00728e+17 1073.46 649.295 
519 1.00851e+17 1073.21 649.454 
520 1.00972e+17 1072.95 649.608 
521 1.01091e+17 1072.69 649.758 
522 1.01208e+17 1072.43 649.904 
523 1.01324e+17 1072.17 650.045 
524 1.01437e+17 1071.9 650.183 
525 1.01549e+17 1071.63 650.316 
526 1.01658e+17 1071.36 650.446 
527 1.01765e+17 1071.09 650.573 
528 1.0187e+17 1070.81 650.696 
529 1.01974e+17 1070.54 650.816 
530 1.02074e+17 1070.27 650.932 
531 1.02173e+17 1070 651.046 
532 1.0227e+17 1069.73 651.156 
533 1.02364e+17 1069.46 651.264 
534 1.02456e+17 1069.2 651.37 
535 1.02545e+17 1068.93 651.472 
536 1.02633e+17 1068.67 651.573 
537 1.02718e+17 1068.42 651.671 
538 1.02801e+17 1068.16 651.767 
539 1.02881e+17 1067.92 651.861 
540 1.02959e+17 1067.67 651.953 
541 1.03035e+17 1067.43 652.043 
542 1.03108e+17 1067.2 652.132 
543 1.03179e+17 1066.97 652.219 
544 1.03248e+17 1066.75 652.305 
545 1.03314e+17 1066.53 652.389 
546 1.03377e+17 1066.33 652.473 
547 1.03439e+17 1066.12 652.555 
548 1.03498e+17 1065.93 652.636 
549 1.03554e+17 1065.74 652.716 
550 1.03608e+17 1065.56 652.796 
551 1.0366e+17 1065.39 652.874 
552 1.03709e+17 1065.22 652.953 
553 1.03756e+17 1065.06 653.03 
554 1.03801e+17 1064.91 653.107 
555 1.03843e+17 1064.77 653.183 
556 1.03883e+17 1064.64 653.259 
557 1.0392e+17 1064.52 653.335 
558 1.03955e+17 1064.4 653.41 
559 1.03988e+17 1064.3 653.485 
560 1.04018e+17 1064.2 653.56 
561 1.04047e+17 1064.11 653.634 
562 1.04072e+17 1064.04 653.709 
563 1.04096e+17 1063.97 653.783 
564 1.04117e+17 1063.91 653.856 
565 1.04136e+17 1063.85 653.93 
566 1.04152e+17 1063.81 654.003 
567 1.04167e+17 1063.78 654.076 
568 1.04179e+17 1063.75 654.149 
569 1.04188e+17 1063.74 654.221 
570 1.04196e+17 1063.73 654.293 
571 1.04201e+17 1063.73 654.365 
572 1.04205e+17 1063.74 654.436 
573 1.04206e+17 1063.76 654.506 
574 1.04204e+17 1063.79 654.576 
575 1.04201e+17 1063.82 654.645 
576 1.04196e+17 1063.86 654.714 
577 1.04188e+17 1063.91 654.781 
578 1.04178e+17 1063.97 654.848 
579 1.04167e+17 1064.04 654.914 
580 1.04153e+17 1064.11 654.978 
581 1.04137e+17 1064.19 655.041 
582 1.04118e+17 1064.28 655.103 
583 1.04098e+17 1064.37 655.163 
584 1.04076e+17 1064.47 655.222 
585 1.04052e+17 1064.57 655.279 
586 1.04025e+17 1064.68 655.334 
587 1.03997e+17 1064.8 655.387 
588 1.03967e+17 1064.92 655.438 
589 1.03934e+17 1065.04 655.486 
590 1.039e+17 1065.17 655.532 
591 1.03864e+17 1065.3 655.576 
592 1.03825e+17 1065.44 655.616 
593 1.03785e+17 1065.58 655.654 
594 1.03743e+17 1065.72 655.689 
595 1.03699e+17 1065.87 655.72 
596 1.03652e+17 1066.01 655.748 
597 1.03604e+17 1066.16 655.773 
598 1.03554e+17 1066.31 655.793 
599 1.03502e+17 1066.46 655.81 
600 1.03448e+17 1066.62 655.823 
601 1.03392e+17 1066.77 655.832 
602 1.03335e+17 1066.92 655.836 
603 1.03275e+17 1067.07 655.836 
604 1.03214e+17 1067.22 655.831 
605 1.0315e+17 1067.37 655.821 
606 1.03085e+17 1067.51 655.806 
607 1.03018e+17 1067.66 655.786 
608 1.02949e+17 1067.8 655.761 
609 1.02878e+17 1067.94 655.73 
610 1.02805e+17 1068.07 655.694 
611 1.02731e+17 1068.2 655.652 
612 1.02655e+17 1068.33 655.604 
613 1.02577e+17 1068.45 655.55 
614 1.02497e+17 1068.57 655.49 
615 1.02416e+17 1068.68 655.424 
616 1.02332e+17 1068.79 655.352 
617 1.02247e+17 1068.89 655.273 
618 1.02161e+17 1068.98 655.187 
619 1.02072e+17 1069.07 655.095 
620 1.01982e+17 1069.15 654.996 
621 1.01891e+17 1069.22 654.89 
622 1.01797e+17 1069.28 654.777 
623 1.01702e+17 1069.33 654.657 
624 1.01606e+17 1069.38 654.53 
625 1.01508e+17 1069.42 654.396 
626 1.01408e+17 1069.44 654.255 
627 1.01307e+17 1069.46 654.107 
628 1.01205e+17 1069.47 653.951 
629 1.01101e+17 1069.47 653.788 
630 1.00996e+17 1069.45 653.618 
631 1.00889e+17 1069.43 653.44 
632 1.00781e+17 1069.39 653.255 
633 1.00672e+17 1069.35 653.062 
634 1.00562e+17 1069.29 652.862 
635 1.0045e+17 1069.22 652.655 
636 1.00337e+17 1069.14 652.441 
637 1.00223e+17 1069.05 652.219 
638 1.00108e+17 1068.94 651.989 
639 9.99916e+16 1068.82 651.753 
640 9.98745e+16 1068.69 651.509 
641 9.97564e+16 1068.55 651.258 
642 9.96374e+16 1068.4 651 
643 9.95176e+16 1068.23 650.735 
644 9.93969e+16 1068.05 650.463 
645 9.92755e+16 1067.85 650.185 
646 9.91535e+16 1067.64 649.899 
647 9.90308e+16 1067.42 649.607 
648 9.89075e+16 1067.19 649.308 
649 9.87836e+16 1066.94 649.002 
650 9.86593e+16 1066.68 648.691 
651 9.85346e+16 1066.41 648.373 
652 9.84096e+16 1066.13 648.048 
653 9.82842e+16 1065.83 647.718 
654 9.81586e+16 1065.52 647.382 
655 9.80328e+16 1065.19 647.041 
656 9.7907e+16 1064.85 646.693 
657 9.7781e+16 1064.51 646.341 
658 9.76551e+16 1064.14 645.983 
659 9.75293e+16 1063.77 645.62 
660 9.74036e+16 1063.38 645.252 
661 9.72781e+16 1062.99 644.88 
662 9.71529e+16 1062.58 644.503 
663 9.7028e+16 1062.16 644.121 
664 9.69035e+16 1061.72 643.736 
665 9.67795e+16 1061.28 643.346 
666 9.6656e+16 1060.83 642.953 
667 9.65331e+16 1060.36 642.556 
668 9.64108e+16 1059.89 642.155 
669 9.62893e+16 1059.41 641.752 
670 9.61685e+16 1058.91 641.345 
671 9.60486e+16 1058.41 640.936 
672 9.59295e+16 1057.9 640.525 
673 9.58115e+16 1057.38 640.111 
674 9.56944e+16 1056.85 639.695 
675 9.55785e+16 1056.32 639.277 
676 9.54637e+16 1055.77 638.857 
677 9.53501e+16 1055.22 638.436 
678 9.52377e+16 1054.67 638.014 
679 9.51267e+16 1054.11 637.591 
680 9.50171e+16 1053.54 637.168 
681 9.49089e+16 1052.97 636.744 
682 9.48022e+16 1052.39 636.319 
683 9.4697e+16 1051.81 635.895 
684 9.45934e+16 1051.22 635.471 
685 9.44915e+16 1050.64 635.048 
686 9.43913e+16 1050.04 634.625 
687 9.42928e+16 1049.45 634.204 
688 9.41961e+16 1048.86 633.783 
689 9.41012e+16 1048.26 633.365 
690 9.40083e+16 1047.66 632.948 
691 9.39172e+16 1047.07 632.533 
692 9.38282e+16 1046.47 632.12 
693 9.37411e+16 1045.87 631.71 
694 9.36561e+16 1045.28 631.302 
695 9.35732e+16 1044.68 630.898 
696 9.34925e+16 1044.09 630.497 
697 9.34139e+16 1043.51 630.1 
698 9.33375e+16 1042.92 629.706 
699 9.32633e+16 1042.34 629.316 
700 9.31915e+16 1041.77 628.931 
701 9.31219e+16 1041.2 628.55 
702 9.30546e+16 1040.63 628.174 
703 9.29898e+16 1040.07 627.804 
704 9.29273e+16 1039.52 627.438 
